"ORGANIZATIONID","NAME","NEXTID","STARTDATE","EXPIRATIONDATE"
599,"Institute of agricultural economics and development, CAAS",35729,01-APR-14 12.00.00.000000000 AM AMERICA/LOS_ANGELES,31-MAR-17 12.00.00.000000000 AM AMERICA/LOS_ANGELES
607,"Institute of Genetics and Developmental Biology, CAS",35781,01-APR-14 12.00.00.000000000 AM AMERICA/LOS_ANGELES,31-MAR-17 12.00.00.000000000 AM AMERICA/LOS_ANGELES
610,"Institute of Information Engineering, Chinese Academy of Sciences",35784,01-APR-14 12.00.00.000000000 AM AMERICA/LOS_ANGELES,31-MAR-17 12.00.00.000000000 AM AMERICA/LOS_ANGELES
624,"Nanjing Institute of Soil Science, CAS",35994,01-APR-14 12.00.00.000000000 AM AMERICA/LOS_ANGELES,31-MAR-17 12.00.00.000000000 AM AMERICA/LOS_ANGELES
768,"Northwesten Polytechnical University",36033,01-APR-14 12.00.00.000000000 AM AMERICA/LOS_ANGELES,31-MAR-17 12.00.00.000000000 AM AMERICA/LOS_ANGELES
905,"Korea, Dem Rep.",48972,01-APR-14 12.00.00.000000000 PM +08:00,
949,"University of Pennsylvania",7,01-NOV-14 12.00.00.000000000 PM AMERICA/LOS_ANGELES,31-OCT-15 12.00.00.000000000 PM AMERICA/LOS_ANGELES
1063,"University of Oslo",5,01-JAN-15 12.00.00.000000000 PM AMERICA/LOS_ANGELES,31-DEC-17 12.00.00.000000000 PM AMERICA/LOS_ANGELES
1065,"University of Birmingham",2,27-MAR-15 12.00.00.000000000 PM AMERICA/LOS_ANGELES,31-MAR-18 12.00.00.000000000 PM AMERICA/LOS_ANGELES
1066,"Microsoft Bing Bots",4,27-MAR-15 12.00.00.000000000 PM AMERICA/LOS_ANGELES,
1069,"EMBL",8,01-APR-15 12.00.00.000000000 PM AMERICA/LOS_ANGELES,31-MAR-16 12.00.00.000000000 PM AMERICA/LOS_ANGELES
977,"University of Wisconsin Eau Claire",2,01-APR-14 12.00.00.000000000 PM AMERICA/LOS_ANGELES,31-MAR-16 12.00.00.000000000 PM AMERICA/LOS_ANGELES
974,"Franklin and Marshall College",2,01-JAN-15 12.00.00.000000000 PM AMERICA/LOS_ANGELES,31-DEC-15 12.00.00.000000000 PM AMERICA/LOS_ANGELES
1009,"Max Planck Institute for Foreign Private and Private International Law",50407,01-JAN-15 12.00.00.000000000 AM AMERICA/LOS_ANGELES,31-DEC-17 12.00.00.000000000 PM AMERICA/LOS_ANGELES
998,"Max Planck Institute for Demographic Research",50369,01-JAN-15 12.00.00.000000000 AM AMERICA/LOS_ANGELES,31-DEC-17 12.00.00.000000000 AM AMERICA/LOS_ANGELES
1015,"Max Planck Institute for Infection Biology",50435,01-JAN-15 12.00.00.000000000 AM AMERICA/LOS_ANGELES,31-DEC-17 12.00.00.000000000 AM AMERICA/LOS_ANGELES
1028,"Max Planck Institute for Plant Breeding Research",50511,01-JAN-15 12.00.00.000000000 AM AMERICA/LOS_ANGELES,31-DEC-17 12.00.00.000000000 AM AMERICA/LOS_ANGELES
1039,"Max Planck Institute for the Biology of Ageing",50554,01-JAN-15 12.00.00.000000000 AM AMERICA/LOS_ANGELES,31-DEC-17 12.00.00.000000000 AM AMERICA/LOS_ANGELES
1040,"Max Planck Institute for the History of Science",50559,01-JAN-15 12.00.00.000000000 AM AMERICA/LOS_ANGELES,31-DEC-17 12.00.00.000000000 AM AMERICA/LOS_ANGELES
1045,"Max Planck Institute for the Study of Societies",50575,01-JAN-15 12.00.00.000000000 AM AMERICA/LOS_ANGELES,31-DEC-17 12.00.00.000000000 AM AMERICA/LOS_ANGELES
200,"Jilin Normal University Library",17302,01-APR-14 12.00.00.000000000 AM AMERICA/LOS_ANGELES,31-MAR-17 12.00.00.000000000 AM AMERICA/LOS_ANGELES
208,"Lanzhou University of Technology (Gansu University of Technology) Library",17366,01-APR-14 12.00.00.000000000 AM AMERICA/LOS_ANGELES,31-MAR-17 12.00.00.000000000 AM AMERICA/LOS_ANGELES
218,"Nanjing University",17453,01-APR-14 12.00.00.000000000 AM AMERICA/LOS_ANGELES,31-MAR-17 12.00.00.000000000 AM AMERICA/LOS_ANGELES
225,"National Institute of Biological Sciences, Beijing",17507,01-APR-14 12.00.00.000000000 AM AMERICA/LOS_ANGELES,31-MAR-17 12.00.00.000000000 AM AMERICA/LOS_ANGELES
245,"S and T Information Egineering Research Center of Shandong Academy of Agricultural Sciences",17630,01-APR-14 12.00.00.000000000 AM AMERICA/LOS_ANGELES,31-MAR-17 12.00.00.000000000 AM AMERICA/LOS_ANGELES
246,"Science and Technology Information Institute of Heilongjiang Academy of Agricultural Reclamation",17634,01-APR-14 12.00.00.000000000 AM AMERICA/LOS_ANGELES,31-MAR-17 12.00.00.000000000 AM AMERICA/LOS_ANGELES
250,"Shanghai Academy of Science and Technology",17678,01-APR-14 12.00.00.000000000 AM AMERICA/LOS_ANGELES,31-MAR-17 12.00.00.000000000 AM AMERICA/LOS_ANGELES
252,"Shangqiu Normal University",17685,01-APR-14 12.00.00.000000000 AM AMERICA/LOS_ANGELES,31-MAR-17 12.00.00.000000000 AM AMERICA/LOS_ANGELES
265,"Southwest Jiaotong University",17858,01-APR-14 12.00.00.000000000 AM AMERICA/LOS_ANGELES,31-MAR-17 12.00.00.000000000 AM AMERICA/LOS_ANGELES
275,"Tibet Academy of Agricultural and Animal Science",17903,01-APR-14 12.00.00.000000000 AM AMERICA/LOS_ANGELES,31-MAR-17 12.00.00.000000000 AM AMERICA/LOS_ANGELES
285,"University of Minnesota",17966,01-JUN-14 12.00.00.000000000 AM AMERICA/LOS_ANGELES,31-MAY-16 12.00.00.000000000 PM AMERICA/LOS_ANGELES
292,"Xi'an Jiaotong University",18005,01-APR-14 12.00.00.000000000 AM AMERICA/LOS_ANGELES,31-MAR-17 12.00.00.000000000 AM AMERICA/LOS_ANGELES
211,"Library of Huaihua University",17394,01-APR-14 12.00.00.000000000 AM AMERICA/LOS_ANGELES,31-MAR-17 12.00.00.000000000 AM AMERICA/LOS_ANGELES
219,"Nanjing University of Science and Technology",17463,01-APR-14 12.00.00.000000000 AM AMERICA/LOS_ANGELES,31-MAR-17 12.00.00.000000000 AM AMERICA/LOS_ANGELES
247,"Shandong Academy of Sciences",17644,01-APR-14 12.00.00.000000000 AM AMERICA/LOS_ANGELES,31-MAR-17 12.00.00.000000000 AM AMERICA/LOS_ANGELES
251,"Shanghai Advanced Research Institute, CAS",17682,01-APR-14 12.00.00.000000000 AM AMERICA/LOS_ANGELES,31-MAR-17 12.00.00.000000000 AM AMERICA/LOS_ANGELES
257,"Sichuan University",3,01-APR-14 12.00.00.000000000 AM AMERICA/LOS_ANGELES,31-MAR-17 12.00.00.000000000 PM AMERICA/LOS_ANGELES
260,"South China Normal University Library",17773,01-APR-14 12.00.00.000000000 AM AMERICA/LOS_ANGELES,31-MAR-17 12.00.00.000000000 PM AMERICA/LOS_ANGELES
264,"Southern Yangtze University ",17850,01-APR-14 12.00.00.000000000 AM AMERICA/LOS_ANGELES,31-MAR-17 12.00.00.000000000 AM AMERICA/LOS_ANGELES
269,"The Library of Gansu Agricultural University",17883,01-APR-14 12.00.00.000000000 AM AMERICA/LOS_ANGELES,31-MAR-17 12.00.00.000000000 AM AMERICA/LOS_ANGELES
279,"Tobacco Research Institute, CAAS",17909,01-APR-14 12.00.00.000000000 AM AMERICA/LOS_ANGELES,31-MAR-17 12.00.00.000000000 AM AMERICA/LOS_ANGELES
280,"Tongji University",17923,01-APR-14 12.00.00.000000000 AM AMERICA/LOS_ANGELES,31-MAR-17 12.00.00.000000000 AM AMERICA/LOS_ANGELES
282,"Universidad Nacional Autonoma de Mexico  ",17929,01-APR-14 12.00.00.000000000 AM AMERICA/LOS_ANGELES,31-MAR-16 12.00.00.000000000 PM AMERICA/LOS_ANGELES
286,"University of Utrecht",17967,25-MAY-14 12.00.00.000000000 AM AMERICA/LOS_ANGELES,29-MAY-14 12.00.00.000000000 AM AMERICA/LOS_ANGELES
833,"University of Hawaii",36650,01-JUL-14 12.00.00.000000000 AM AMERICA/LOS_ANGELES,30-JUN-20 12.00.00.000000000 PM AMERICA/LOS_ANGELES
961,"University of East Anglia",3,01-NOV-14 12.00.00.000000000 PM AMERICA/LOS_ANGELES,31-OCT-15 12.00.00.000000000 PM AMERICA/LOS_ANGELES
969,"Korea University",8,01-JAN-15 12.00.00.000000000 PM AMERICA/LOS_ANGELES,31-DEC-15 12.00.00.000000000 PM AMERICA/LOS_ANGELES
970,"Evogene",5,01-NOV-14 12.00.00.000000000 PM AMERICA/LOS_ANGELES,31-DEC-15 12.00.00.000000000 PM AMERICA/LOS_ANGELES
109,"Beijing Academy of Agriculture and Forestry Sciences ",16672,01-APR-14 12.00.00.000000000 AM AMERICA/LOS_ANGELES,31-MAR-17 12.00.00.000000000 AM AMERICA/LOS_ANGELES
117,"Changzhou University Library",16740,01-APR-14 12.00.00.000000000 AM AMERICA/LOS_ANGELES,31-MAR-17 12.00.00.000000000 AM AMERICA/LOS_ANGELES
123,"China Ocean University ",16766,01-APR-14 12.00.00.000000000 AM AMERICA/LOS_ANGELES,31-MAR-17 12.00.00.000000000 AM AMERICA/LOS_ANGELES
125,"China West Normal University Library",16780,01-APR-14 12.00.00.000000000 AM AMERICA/LOS_ANGELES,31-MAR-17 12.00.00.000000000 AM AMERICA/LOS_ANGELES
129,"Chongqing Institute of Green and Intelligent Technology, CAS",16798,01-APR-14 12.00.00.000000000 AM AMERICA/LOS_ANGELES,31-MAR-17 12.00.00.000000000 AM AMERICA/LOS_ANGELES
144,"Fujian Institute of Microbiology",16927,01-APR-14 12.00.00.000000000 AM AMERICA/LOS_ANGELES,31-MAR-17 12.00.00.000000000 AM AMERICA/LOS_ANGELES
146,"Fuzhou University",16956,01-APR-14 12.00.00.000000000 AM AMERICA/LOS_ANGELES,31-MAR-17 12.00.00.000000000 AM AMERICA/LOS_ANGELES
163,"Hangzhou Dianzi University",17043,01-APR-14 12.00.00.000000000 AM AMERICA/LOS_ANGELES,31-MAR-17 12.00.00.000000000 AM AMERICA/LOS_ANGELES
26,"Nara Institute of Science and Technology (NAIST)",2,01-APR-14 12.00.00.000000000 AM AMERICA/LOS_ANGELES,31-MAR-15 12.00.00.000000000 AM AMERICA/LOS_ANGELES
22,"McGill University",5,01-APR-14 12.00.00.000000000 AM AMERICA/LOS_ANGELES,31-MAR-16 12.00.00.000000000 PM AMERICA/LOS_ANGELES
29,"Ohio State University",5,01-JUN-15 12.00.00.000000000 PM AMERICA/LOS_ANGELES,31-MAY-16 12.00.00.000000000 PM AMERICA/LOS_ANGELES
6,"Center for Research in Agricultural Genomics (CRAG)",2,01-APR-14 12.00.00.000000000 AM AMERICA/LOS_ANGELES,31-MAR-16 12.00.00.000000000 PM AMERICA/LOS_ANGELES
38,"Tartu University",10,01-APR-14 12.00.00.000000000 AM AMERICA/LOS_ANGELES,31-MAR-20 12.00.00.000000000 PM AMERICA/LOS_ANGELES
951,"Institute of Geophysics, China Earthquake Administraion",3,01-APR-14 12.00.00.000000000 PM AMERICA/LOS_ANGELES,31-MAR-17 12.00.00.000000000 PM AMERICA/LOS_ANGELES
198,"Jiangxi University of Science and Technology ",7,01-APR-14 12.00.00.000000000 PM AMERICA/LOS_ANGELES,31-MAR-17 12.00.00.000000000 PM AMERICA/LOS_ANGELES
85,"University of Nevada Reno",3,31-MAR-14 11.52.00.000000000 PM AMERICA/LOS_ANGELES,31-MAR-20 12.00.00.000000000 PM AMERICA/LOS_ANGELES
937,"Yonsei University",4,01-OCT-14 12.00.00.000000000 PM +08:00,31-DEC-15 12.00.00.000000000 PM AMERICA/LOS_ANGELES
16,"INRA",10,01-APR-14 12.00.00.000000000 AM AMERICA/LOS_ANGELES,31-MAR-16 12.00.00.000000000 PM AMERICA/LOS_ANGELES
178,"Information Institute, Shanxi Academy of Agricultural Sciences",17202,01-APR-14 12.00.00.000000000 AM AMERICA/LOS_ANGELES,31-MAR-17 12.00.00.000000000 AM AMERICA/LOS_ANGELES
197,"Jiangsu University",17275,01-APR-14 12.00.00.000000000 PM +08:00,31-MAY-17 12.00.00.000000000 PM +08:00
798,"ShenYang Ligong University",36232,01-APR-14 12.00.00.000000000 AM AMERICA/LOS_ANGELES,31-MAR-17 12.00.00.000000000 AM AMERICA/LOS_ANGELES
809,"Swedish University of Agricultural Sciences",36329,01-APR-14 12.00.00.000000000 AM AMERICA/LOS_ANGELES,31-MAR-20 12.00.00.000000000 PM AMERICA/LOS_ANGELES
816,"The Library of Xinjiang Uygur Autonomous Region",36368,01-APR-14 12.00.00.000000000 AM AMERICA/LOS_ANGELES,31-MAR-17 12.00.00.000000000 AM AMERICA/LOS_ANGELES
821,"Tianjin Information Institute of TAAS",36379,01-APR-14 12.00.00.000000000 AM AMERICA/LOS_ANGELES,31-MAR-17 12.00.00.000000000 AM AMERICA/LOS_ANGELES
837,"University of Wisconsin La Crosse",36702,01-JUL-14 12.00.00.000000000 AM AMERICA/LOS_ANGELES,30-JUN-16 12.00.00.000000000 PM AMERICA/LOS_ANGELES
637,"WenJing College, YanTai University",36720,01-APR-14 12.00.00.000000000 AM AMERICA/LOS_ANGELES,31-MAR-17 12.00.00.000000000 AM AMERICA/LOS_ANGELES
864,"Zhejiang Pharmaceutical College",36924,01-APR-14 12.00.00.000000000 AM AMERICA/LOS_ANGELES,31-MAR-17 12.00.00.000000000 AM AMERICA/LOS_ANGELES
911,"Cambodia",48259,01-APR-14 12.00.00.000000000 PM +08:00,
908,"Benin",48079,01-APR-14 12.00.00.000000000 PM +08:00,
653,"Capital Library of China",35197,01-APR-14 12.00.00.000000000 AM AMERICA/LOS_ANGELES,31-MAR-17 12.00.00.000000000 AM AMERICA/LOS_ANGELES
654,"Capital University of Medical Sciences",35203,01-APR-14 12.00.00.000000000 AM AMERICA/LOS_ANGELES,31-MAR-17 12.00.00.000000000 AM AMERICA/LOS_ANGELES
660,"China Agricultural University",35239,01-APR-14 12.00.00.000000000 AM AMERICA/LOS_ANGELES,31-MAR-17 12.00.00.000000000 PM AMERICA/LOS_ANGELES
667,"Chinese Academy of Medical Science/Xiehe Medical University",35282,01-APR-14 12.00.00.000000000 AM AMERICA/LOS_ANGELES,31-MAR-17 12.00.00.000000000 AM AMERICA/LOS_ANGELES
673,"Dalian Medical University",35354,01-APR-14 12.00.00.000000000 AM AMERICA/LOS_ANGELES,31-MAR-17 12.00.00.000000000 AM AMERICA/LOS_ANGELES
678,"Fudan University",35406,01-APR-14 12.00.00.000000000 AM AMERICA/LOS_ANGELES,31-MAR-17 12.00.00.000000000 AM AMERICA/LOS_ANGELES
682,"Gannan Medical School",35456,01-APR-14 12.00.00.000000000 AM AMERICA/LOS_ANGELES,31-MAR-17 12.00.00.000000000 AM AMERICA/LOS_ANGELES
683,"Gengdan Institute of Beijing University of Technology",35460,01-APR-14 12.00.00.000000000 AM AMERICA/LOS_ANGELES,31-MAR-17 12.00.00.000000000 AM AMERICA/LOS_ANGELES
596,"Harbin Veterinary Research Institute, CAAS",35570,01-APR-14 12.00.00.000000000 AM AMERICA/LOS_ANGELES,31-MAR-17 12.00.00.000000000 AM AMERICA/LOS_ANGELES
696,"Hebei United University",35579,01-APR-14 12.00.00.000000000 AM AMERICA/LOS_ANGELES,31-MAR-17 12.00.00.000000000 AM AMERICA/LOS_ANGELES
703,"Hexi College of Gansu Province",35623,01-APR-14 12.00.00.000000000 AM AMERICA/LOS_ANGELES,31-MAR-17 12.00.00.000000000 AM AMERICA/LOS_ANGELES
604,"Institute of Botany, CAS",35762,01-APR-14 12.00.00.000000000 AM AMERICA/LOS_ANGELES,31-MAR-17 12.00.00.000000000 AM AMERICA/LOS_ANGELES
614,"Institute of Medicine Biotechnology, CAMS & PUMC",35792,01-APR-14 12.00.00.000000000 AM AMERICA/LOS_ANGELES,31-MAR-17 12.00.00.000000000 AM AMERICA/LOS_ANGELES
619,"Institute of Tibetan Plateau Research, CAS",35818,01-APR-14 12.00.00.000000000 AM AMERICA/LOS_ANGELES,31-MAR-17 12.00.00.000000000 AM AMERICA/LOS_ANGELES
738,"Liaoning Technical University",35875,01-APR-14 12.00.00.000000000 AM AMERICA/LOS_ANGELES,31-MAR-17 12.00.00.000000000 AM AMERICA/LOS_ANGELES
748,"Library of Zhejiang Ocean University",35931,01-APR-14 12.00.00.000000000 AM AMERICA/LOS_ANGELES,31-MAR-17 12.00.00.000000000 AM AMERICA/LOS_ANGELES
757,"Nanchang University",35976,01-APR-14 12.00.00.000000000 AM AMERICA/LOS_ANGELES,31-MAR-17 12.00.00.000000000 AM AMERICA/LOS_ANGELES
762,"National Library of China",36011,01-APR-14 12.00.00.000000000 AM AMERICA/LOS_ANGELES,31-MAR-17 12.00.00.000000000 AM AMERICA/LOS_ANGELES
770,"Panyu Polytechnic Library",36036,01-APR-14 12.00.00.000000000 AM AMERICA/LOS_ANGELES,31-MAR-17 12.00.00.000000000 AM AMERICA/LOS_ANGELES
772,"Peking Union Medical College Hospital",36061,01-APR-14 12.00.00.000000000 AM AMERICA/LOS_ANGELES,31-MAR-17 12.00.00.000000000 AM AMERICA/LOS_ANGELES
773,"Peking University",36078,01-APR-14 12.00.00.000000000 AM AMERICA/LOS_ANGELES,31-MAR-17 12.00.00.000000000 AM AMERICA/LOS_ANGELES
903,"Congo, Dem. Rep",48617,01-APR-14 12.00.00.000000000 PM +08:00,
916,"Ethiopia",48650,01-APR-14 12.00.00.000000000 PM +08:00,
922,"Madagascar",49094,01-APR-14 12.00.00.000000000 PM +08:00,
926,"Myanmar",49251,01-APR-14 12.00.00.000000000 PM +08:00,
928,"Niger",49385,01-APR-14 12.00.00.000000000 PM +08:00,
936,"Zimbabwe",49962,01-APR-14 12.00.00.000000000 PM +08:00,
955,"Hengshui University",9,01-APR-14 12.00.00.000000000 PM AMERICA/LOS_ANGELES,31-MAR-17 12.00.00.000000000 PM AMERICA/LOS_ANGELES
1060,"Services for all institutes of the Max Planck Society",50640,01-JAN-15 12.00.00.000000000 AM AMERICA/LOS_ANGELES,31-DEC-17 12.00.00.000000000 AM AMERICA/LOS_ANGELES
976,"Institute of Himalayan Bioresource Technology (IHBT)",2,01-JAN-15 12.00.00.000000000 PM AMERICA/LOS_ANGELES,31-DEC-15 12.00.00.000000000 PM AMERICA/LOS_ANGELES
972,"Volcani Center",2,01-JAN-15 12.00.00.000000000 PM AMERICA/LOS_ANGELES,31-DEC-15 12.00.00.000000000 PM AMERICA/LOS_ANGELES
990,"Max Planck Institute for Biophysical Chemistry (Karl Friedrich Bonhoeffer Institute)",50336,01-JAN-15 12.00.00.000000000 AM AMERICA/LOS_ANGELES,31-DEC-17 12.00.00.000000000 AM AMERICA/LOS_ANGELES
991,"Max Planck Institute for Brain Research",50343,01-JAN-15 12.00.00.000000000 AM AMERICA/LOS_ANGELES,31-DEC-17 12.00.00.000000000 AM AMERICA/LOS_ANGELES
995,"Max Planck Institute for Chemistry (Otto Hahn Institute)",50358,01-JAN-15 12.00.00.000000000 AM AMERICA/LOS_ANGELES,31-DEC-17 12.00.00.000000000 AM AMERICA/LOS_ANGELES
1003,"Max Planck Institute for European Legal History",50382,01-JAN-15 12.00.00.000000000 AM AMERICA/LOS_ANGELES,31-DEC-17 12.00.00.000000000 AM AMERICA/LOS_ANGELES
1012,"Max Planck Institute for History and the Sciences",50421,01-JAN-15 12.00.00.000000000 AM AMERICA/LOS_ANGELES,31-DEC-17 12.00.00.000000000 AM AMERICA/LOS_ANGELES
1022,"Max Planck Institute for Medical Research",50472,01-JAN-15 12.00.00.000000000 AM AMERICA/LOS_ANGELES,31-DEC-17 12.00.00.000000000 AM AMERICA/LOS_ANGELES
1038,"Max Planck Institute for Terrestrial Microbiology",50551,01-JAN-15 12.00.00.000000000 AM AMERICA/LOS_ANGELES,31-DEC-17 12.00.00.000000000 AM AMERICA/LOS_ANGELES
1048,"Max Planck Institute of Colloids and Interfaces",50589,01-JAN-15 12.00.00.000000000 AM AMERICA/LOS_ANGELES,31-DEC-17 12.00.00.000000000 AM AMERICA/LOS_ANGELES
201,"Jilin Province Science and Technology Information Institute",17303,01-APR-14 12.00.00.000000000 AM AMERICA/LOS_ANGELES,31-MAR-17 12.00.00.000000000 AM AMERICA/LOS_ANGELES
203,"Jinan University",17345,01-APR-14 12.00.00.000000000 AM AMERICA/LOS_ANGELES,31-MAR-17 12.00.00.000000000 AM AMERICA/LOS_ANGELES
206,"Kunming Institute of Botany, CAS ",17348,01-APR-14 12.00.00.000000000 AM AMERICA/LOS_ANGELES,31-MAR-17 12.00.00.000000000 AM AMERICA/LOS_ANGELES
210,"Library of China Jiliang University",17391,01-APR-14 12.00.00.000000000 AM AMERICA/LOS_ANGELES,31-MAR-17 12.00.00.000000000 AM AMERICA/LOS_ANGELES
215,"Linyi Normal University",17416,01-APR-14 12.00.00.000000000 AM AMERICA/LOS_ANGELES,31-MAR-17 12.00.00.000000000 AM AMERICA/LOS_ANGELES
217,"Nanjing Normal University",17435,01-APR-14 12.00.00.000000000 PM +08:00,31-MAY-17 12.00.00.000000000 PM +08:00
222,"Nankai University ",17487,01-APR-14 12.00.00.000000000 AM AMERICA/LOS_ANGELES,31-MAR-17 12.00.00.000000000 AM AMERICA/LOS_ANGELES
227,"Ningbo University",17525,01-APR-14 12.00.00.000000000 AM AMERICA/LOS_ANGELES,31-MAR-17 12.00.00.000000000 AM AMERICA/LOS_ANGELES
262,"South China University of Technology ",17792,01-APR-14 12.00.00.000000000 AM AMERICA/LOS_ANGELES,31-MAR-17 12.00.00.000000000 AM AMERICA/LOS_ANGELES
268,"The Academy of Science of the State Administration of Grain",17879,01-APR-14 12.00.00.000000000 AM AMERICA/LOS_ANGELES,31-MAR-17 12.00.00.000000000 AM AMERICA/LOS_ANGELES
277,"Tibet Autonomous Institute of Science and Technology Information",17905,01-APR-14 12.00.00.000000000 AM AMERICA/LOS_ANGELES,31-MAR-17 12.00.00.000000000 AM AMERICA/LOS_ANGELES
284,"University of Maryland, College Park",17959,01-MAY-14 12.00.00.000000000 AM AMERICA/LOS_ANGELES,30-APR-20 12.00.00.000000000 PM AMERICA/LOS_ANGELES
295,"Xishuangbanna Tropical Botanical Garden, CAS",18038,01-APR-14 12.00.00.000000000 AM AMERICA/LOS_ANGELES,31-MAR-17 12.00.00.000000000 AM AMERICA/LOS_ANGELES
300,"Yunnan University",36912,01-APR-14 12.00.00.000000000 AM AMERICA/LOS_ANGELES,31-MAR-17 12.00.00.000000000 AM AMERICA/LOS_ANGELES
301,"Zhejiang Gongshang University",18064,01-APR-14 12.00.00.000000000 AM AMERICA/LOS_ANGELES,31-MAR-17 12.00.00.000000000 AM AMERICA/LOS_ANGELES
293,"Xiamen University",18032,01-APR-14 12.00.00.000000000 AM AMERICA/LOS_ANGELES,31-MAR-17 12.00.00.000000000 AM AMERICA/LOS_ANGELES
962,"University of Stavanger",2,01-JAN-15 12.00.00.000000000 PM AMERICA/LOS_ANGELES,31-DEC-15 12.00.00.000000000 PM AMERICA/LOS_ANGELES
105,"Anhui Academy of Agricultural Sciences",16652,01-APR-14 12.00.00.000000000 AM AMERICA/LOS_ANGELES,31-MAR-17 12.00.00.000000000 AM AMERICA/LOS_ANGELES
108,"Anhui University of Science and Technology",16665,01-APR-14 12.00.00.000000000 AM AMERICA/LOS_ANGELES,31-MAR-17 12.00.00.000000000 AM AMERICA/LOS_ANGELES
110,"Beijing Forestry University ",16689,01-APR-14 12.00.00.000000000 AM AMERICA/LOS_ANGELES,31-MAR-17 12.00.00.000000000 AM AMERICA/LOS_ANGELES
114,"Capital Normal University Library ",16715,01-APR-14 12.00.00.000000000 AM AMERICA/LOS_ANGELES,31-MAR-17 12.00.00.000000000 AM AMERICA/LOS_ANGELES
120,"Chengdu Library of Chinese Academy of Sciences",16753,01-APR-14 12.00.00.000000000 AM AMERICA/LOS_ANGELES,31-MAR-17 12.00.00.000000000 AM AMERICA/LOS_ANGELES
122,"China National Rice Research Institute",16755,01-APR-14 12.00.00.000000000 AM AMERICA/LOS_ANGELES,31-MAR-17 12.00.00.000000000 AM AMERICA/LOS_ANGELES
135,"Dalian Jiaotong University",16863,01-APR-14 12.00.00.000000000 AM AMERICA/LOS_ANGELES,31-MAR-17 12.00.00.000000000 AM AMERICA/LOS_ANGELES
137,"Dalian University",16879,01-APR-14 12.00.00.000000000 AM AMERICA/LOS_ANGELES,31-MAR-17 12.00.00.000000000 AM AMERICA/LOS_ANGELES
150,"Guangdong University of Technology",16972,01-APR-14 12.00.00.000000000 AM AMERICA/LOS_ANGELES,31-MAR-17 12.00.00.000000000 AM AMERICA/LOS_ANGELES
170,"Henan Agriculture University",17139,01-APR-14 12.00.00.000000000 AM AMERICA/LOS_ANGELES,31-MAR-17 12.00.00.000000000 AM AMERICA/LOS_ANGELES
48,"University of Leicester",4,01-APR-14 12.00.00.000000000 AM AMERICA/LOS_ANGELES,31-MAR-16 12.00.00.000000000 PM AMERICA/LOS_ANGELES
49,"University of Melbourne",4,01-APR-14 12.00.00.000000000 AM AMERICA/LOS_ANGELES,31-MAR-17 12.00.00.000000000 PM AMERICA/LOS_ANGELES
54,"University of Texas Austin",10,01-APR-14 12.00.00.000000000 AM AMERICA/LOS_ANGELES,31-DEC-15 12.00.00.000000000 PM AMERICA/LOS_ANGELES
71,"University of Illinois Urbana Champaign",8,31-MAR-14 11.52.00.000000000 PM AMERICA/LOS_ANGELES,31-MAR-16 12.00.00.000000000 PM AMERICA/LOS_ANGELES
78,"University of Cologne",2,31-MAR-14 11.52.00.000000000 PM AMERICA/LOS_ANGELES,31-MAR-16 12.00.00.000000000 PM AMERICA/LOS_ANGELES
89,"North Carolina State University",4,31-MAR-14 11.52.00.000000000 PM AMERICA/LOS_ANGELES,31-MAR-16 12.00.00.000000000 PM AMERICA/LOS_ANGELES
97,"University of North Texas",10,31-MAR-14 11.52.00.000000000 PM AMERICA/LOS_ANGELES,31-MAR-16 12.00.00.000000000 PM AMERICA/LOS_ANGELES
101,"Umea University",2,31-MAR-14 11.52.00.000000000 PM AMERICA/LOS_ANGELES,31-MAR-16 12.00.00.000000000 PM AMERICA/LOS_ANGELES
104,"Elsevier",4,31-MAR-14 11.52.00.000000000 PM AMERICA/LOS_ANGELES,
189,"Institute of Microbiology, CAS",17235,01-APR-14 12.00.00.000000000 AM AMERICA/LOS_ANGELES,31-MAR-17 12.00.00.000000000 AM AMERICA/LOS_ANGELES
784,"Shanghai Dianji University Library",36121,01-APR-14 12.00.00.000000000 AM AMERICA/LOS_ANGELES,31-MAR-17 12.00.00.000000000 AM AMERICA/LOS_ANGELES
788,"Shanghai University of Tradional Chinese Medicine",36180,01-APR-14 12.00.00.000000000 AM AMERICA/LOS_ANGELES,31-MAR-17 12.00.00.000000000 AM AMERICA/LOS_ANGELES
790,"Shanxi Center for Disease Control and Prevention",36198,01-APR-14 12.00.00.000000000 AM AMERICA/LOS_ANGELES,31-MAR-17 12.00.00.000000000 AM AMERICA/LOS_ANGELES
796,"Shengyang Medical College",36223,01-APR-14 12.00.00.000000000 AM AMERICA/LOS_ANGELES,31-MAR-17 12.00.00.000000000 AM AMERICA/LOS_ANGELES
632,"Shenzhen Institute of Advanced Technology, CAS",36234,01-APR-14 12.00.00.000000000 AM AMERICA/LOS_ANGELES,31-MAR-17 12.00.00.000000000 AM AMERICA/LOS_ANGELES
805,"Sun Yat-Sen University",36297,01-APR-14 12.00.00.000000000 AM AMERICA/LOS_ANGELES,31-MAR-17 12.00.00.000000000 AM AMERICA/LOS_ANGELES
817,"The Medical Library of the Chinese PLA ",36373,01-APR-14 12.00.00.000000000 AM AMERICA/LOS_ANGELES,31-MAR-17 12.00.00.000000000 AM AMERICA/LOS_ANGELES
